Connecting to host 10.0.2.2, port 5201
[ 14] local 10.0.1.2 port 38580 connected to 10.0.2.2 port 5201
[ 14]  64.00-65.00  sec   891 KBytes  7.30 Mbits/sec    6   21.2 KBytes       
[ 14]  65.00-66.00  sec   891 KBytes  7.30 Mbits/sec    4   17.0 KBytes       
[ 14]  66.00-67.00  sec   891 KBytes  7.30 Mbits/sec    2   33.9 KBytes       
[ 14]  67.00-68.00  sec   891 KBytes  7.30 Mbits/sec    4   22.6 KBytes       
[ 14]  68.00-69.00  sec  1018 KBytes  8.34 Mbits/sec    4   22.6 KBytes       
[ 14]  69.00-70.00  sec   891 KBytes  7.30 Mbits/sec    2   36.8 KBytes       
[ 14]  70.00-71.00  sec   891 KBytes  7.30 Mbits/sec    4   29.7 KBytes       
[ 14]  71.00-72.00  sec   891 KBytes  7.30 Mbits/sec    4   28.3 KBytes       
[ 14]  72.00-73.00  sec   954 KBytes  7.82 Mbits/sec    4   26.9 KBytes       
[ 14]  73.00-74.00  sec   891 KBytes  7.30 Mbits/sec    2   45.2 KBytes       
[ 14]  74.00-75.00  sec   891 KBytes  7.30 Mbits/sec    4   41.0 KBytes       
[ 14]  75.00-76.00  sec   827 KBytes  6.78 Mbits/sec    6   32.5 KBytes       
[ 14]  76.00-77.00  sec  1.06 MBytes  8.86 Mbits/sec    4   28.3 KBytes       
[ 14]  77.00-78.00  sec   764 KBytes  6.26 Mbits/sec    4   29.7 KBytes       
[ 14]  78.00-79.00  sec   891 KBytes  7.30 Mbits/sec    3   42.4 KBytes       
[ 14]  79.00-80.00  sec  1.06 MBytes  8.86 Mbits/sec    4   33.9 KBytes       
[ 14]  80.00-81.00  sec   764 KBytes  6.25 Mbits/sec    6   29.7 KBytes       
[ 14]  81.00-82.00  sec   891 KBytes  7.30 Mbits/sec    4   26.9 KBytes       
[ 14]  82.00-83.00  sec  1018 KBytes  8.34 Mbits/sec    2   41.0 KBytes       
[ 14]  83.00-84.00  sec   891 KBytes  7.30 Mbits/sec    4   39.6 KBytes       
[ 14]  84.00-85.00  sec   764 KBytes  6.25 Mbits/sec    4   39.6 KBytes       
[ 14]  85.00-86.00  sec   891 KBytes  7.30 Mbits/sec    5   36.8 KBytes       
[ 14]  86.00-87.00  sec   891 KBytes  7.30 Mbits/sec    4   31.1 KBytes       
[ 14]  87.00-88.00  sec  1018 KBytes  8.34 Mbits/sec    2   45.2 KBytes       
[ 14]  88.00-89.00  sec   891 KBytes  7.30 Mbits/sec    4   24.0 KBytes       
[ 14]  89.00-90.00  sec   891 KBytes  7.30 Mbits/sec    4   24.0 KBytes       
[ 14]  90.00-91.00  sec   954 KBytes  7.82 Mbits/sec    2   38.2 KBytes       
[ 14]  91.00-92.00  sec   891 KBytes  7.30 Mbits/sec    8   25.5 KBytes       
[ 14]  92.00-93.00  sec  1018 KBytes  8.34 Mbits/sec    2   39.6 KBytes       
[ 14]  93.00-94.00  sec   764 KBytes  6.25 Mbits/sec    5   18.4 KBytes       
[ 14]  94.00-95.00  sec  1018 KBytes  8.34 Mbits/sec    2   35.4 KBytes       
[ 14]  95.00-96.00  sec   954 KBytes  7.82 Mbits/sec    5   29.7 KBytes       
[ 14]  96.00-97.00  sec   891 KBytes  7.30 Mbits/sec    2   42.4 KBytes       
[ 14]  97.00-98.00  sec  1018 KBytes  8.34 Mbits/sec    4   36.8 KBytes       
[ 14]  98.00-99.00  sec  1018 KBytes  8.34 Mbits/sec    6   25.5 KBytes       
[ 14]  99.00-100.00 sec   891 KBytes  7.30 Mbits/sec    2   42.4 KBytes       
[ 14] 100.00-101.00 sec   891 KBytes  7.30 Mbits/sec    4   35.4 KBytes       
[ 14] 101.00-102.00 sec   891 KBytes  7.30 Mbits/sec    4   31.1 KBytes       
[ 14] 102.00-103.00 sec   891 KBytes  7.30 Mbits/sec    4   25.5 KBytes       
[ 14] 103.00-104.00 sec   891 KBytes  7.30 Mbits/sec    1   39.6 KBytes       
[ 14] 104.00-105.00 sec   827 KBytes  6.78 Mbits/sec    4   42.4 KBytes       
[ 14] 105.00-106.00 sec   954 KBytes  7.82 Mbits/sec    4   35.4 KBytes       
[ 14] 106.00-107.00 sec   891 KBytes  7.30 Mbits/sec    7   24.0 KBytes       
[ 14] 107.00-108.00 sec  1018 KBytes  8.34 Mbits/sec    4   24.0 KBytes       
[ 14] 108.00-109.00 sec   891 KBytes  7.30 Mbits/sec    4   22.6 KBytes       
[ 14] 109.00-110.00 sec   891 KBytes  7.30 Mbits/sec    2   36.8 KBytes       
[ 14] 110.00-111.00 sec   954 KBytes  7.82 Mbits/sec    5   28.3 KBytes       
[ 14] 111.00-112.00 sec   954 KBytes  7.82 Mbits/sec    2   46.7 KBytes       
[ 14] 112.00-113.00 sec   827 KBytes  6.78 Mbits/sec    4   41.0 KBytes       
[ 14] 113.00-114.00 sec  1018 KBytes  8.34 Mbits/sec    4   32.5 KBytes       
[ 14] 114.00-115.00 sec   636 KBytes  5.21 Mbits/sec    5   43.8 KBytes       
[ 14] 115.00-116.00 sec  1018 KBytes  8.34 Mbits/sec    6   32.5 KBytes       
[ 14] 116.00-117.00 sec   891 KBytes  7.30 Mbits/sec    4   29.7 KBytes       
[ 14] 117.00-118.00 sec   891 KBytes  7.30 Mbits/sec    4   29.7 KBytes       
[ 14] 118.00-119.00 sec   891 KBytes  7.30 Mbits/sec    4   42.4 KBytes       
[ 14] 119.00-120.00 sec  1018 KBytes  8.34 Mbits/sec    6   31.1 KBytes       
